year,week,loc,state,country,loc_type,number,event
1938,12,MISSISSIPPI,MS,US,STATE,0,CASES
1938,34,MISSISSIPPI,MS,US,STATE,0,CASES
1942,10,MISSISSIPPI,MS,US,STATE,0,CASES
1942,17,MISSISSIPPI,MS,US,STATE,0,CASES
1942,24,MISSISSIPPI,MS,US,STATE,0,CASES
1942,41,MISSISSIPPI,MS,US,STATE,0,CASES
1944,9,MISSISSIPPI,MS,US,STATE,0,CASES
1944,18,MISSISSIPPI,MS,US,STATE,0,CASES
1944,21,MISSISSIPPI,MS,US,STATE,0,CASES
1944,22,MISSISSIPPI,MS,US,STATE,0,CASES
1944,23,MISSISSIPPI,MS,US,STATE,0,CASES
1944,24,MISSISSIPPI,MS,US,STATE,0,CASES
1944,34,MISSISSIPPI,MS,US,STATE,0,CASES
1945,19,MISSISSIPPI,MS,US,STATE,0,CASES
1945,29,MISSISSIPPI,MS,US,STATE,0,CASES
1945,30,MISSISSIPPI,MS,US,STATE,0,CASES
1947,11,MISSISSIPPI,MS,US,STATE,16,CASES
1947,12,MISSISSIPPI,MS,US,STATE,11,CASES
1947,13,MISSISSIPPI,MS,US,STATE,8,CASES
1947,14,MISSISSIPPI,MS,US,STATE,15,CASES
1947,15,MISSISSIPPI,MS,US,STATE,5,CASES
1947,17,MISSISSIPPI,MS,US,STATE,14,CASES
1947,18,MISSISSIPPI,MS,US,STATE,6,CASES
1947,19,MISSISSIPPI,MS,US,STATE,10,CASES
1947,20,MISSISSIPPI,MS,US,STATE,18,CASES
1947,21,MISSISSIPPI,MS,US,STATE,25,CASES
1947,22,MISSISSIPPI,MS,US,STATE,16,CASES
1947,23,MISSISSIPPI,MS,US,STATE,8,CASES
1947,24,MISSISSIPPI,MS,US,STATE,7,CASES
1947,25,MISSISSIPPI,MS,US,STATE,24,CASES
1947,26,MISSISSIPPI,MS,US,STATE,16,CASES
1947,27,MISSISSIPPI,MS,US,STATE,7,CASES
1947,28,MISSISSIPPI,MS,US,STATE,11,CASES
1947,29,MISSISSIPPI,MS,US,STATE,4,CASES
1947,30,MISSISSIPPI,MS,US,STATE,11,CASES
1947,31,MISSISSIPPI,MS,US,STATE,12,CASES
1947,32,MISSISSIPPI,MS,US,STATE,11,CASES
1947,33,MISSISSIPPI,MS,US,STATE,5,CASES
1947,34,MISSISSIPPI,MS,US,STATE,5,CASES
1947,35,MISSISSIPPI,MS,US,STATE,5,CASES
1947,36,MISSISSIPPI,MS,US,STATE,6,CASES
1947,37,MISSISSIPPI,MS,US,STATE,4,CASES
1947,38,MISSISSIPPI,MS,US,STATE,4,CASES
1947,39,MISSISSIPPI,MS,US,STATE,3,CASES
1947,40,MISSISSIPPI,MS,US,STATE,5,CASES
1947,41,MISSISSIPPI,MS,US,STATE,7,CASES
1947,42,MISSISSIPPI,MS,US,STATE,11,CASES
1947,43,MISSISSIPPI,MS,US,STATE,3,CASES
1947,44,MISSISSIPPI,MS,US,STATE,2,CASES
1947,45,MISSISSIPPI,MS,US,STATE,1,CASES
1947,46,MISSISSIPPI,MS,US,STATE,3,CASES
1947,47,MISSISSIPPI,MS,US,STATE,2,CASES
1947,50,MISSISSIPPI,MS,US,STATE,4,CASES
1947,51,MISSISSIPPI,MS,US,STATE,5,CASES
1947,52,MISSISSIPPI,MS,US,STATE,3,CASES
1948,1,MISSISSIPPI,MS,US,STATE,6,CASES
1948,2,MISSISSIPPI,MS,US,STATE,3,CASES
1948,3,MISSISSIPPI,MS,US,STATE,5,CASES
1948,4,MISSISSIPPI,MS,US,STATE,4,CASES
1948,5,MISSISSIPPI,MS,US,STATE,1,CASES
1948,6,MISSISSIPPI,MS,US,STATE,2,CASES
1948,7,MISSISSIPPI,MS,US,STATE,3,CASES
1948,8,MISSISSIPPI,MS,US,STATE,2,CASES
1948,9,MISSISSIPPI,MS,US,STATE,8,CASES
1948,10,MISSISSIPPI,MS,US,STATE,5,CASES
1948,11,MISSISSIPPI,MS,US,STATE,2,CASES
1948,12,MISSISSIPPI,MS,US,STATE,1,CASES
1948,14,MISSISSIPPI,MS,US,STATE,3,CASES
1948,16,MISSISSIPPI,MS,US,STATE,7,CASES
1948,17,MISSISSIPPI,MS,US,STATE,3,CASES
1948,18,MISSISSIPPI,MS,US,STATE,3,CASES
1948,19,MISSISSIPPI,MS,US,STATE,1,CASES
1948,20,MISSISSIPPI,MS,US,STATE,2,CASES
1948,21,MISSISSIPPI,MS,US,STATE,2,CASES
1948,22,MISSISSIPPI,MS,US,STATE,5,CASES
1948,23,MISSISSIPPI,MS,US,STATE,11,CASES
1948,25,MISSISSIPPI,MS,US,STATE,4,CASES
1948,27,MISSISSIPPI,MS,US,STATE,3,CASES
1948,29,MISSISSIPPI,MS,US,STATE,2,CASES
1948,30,MISSISSIPPI,MS,US,STATE,1,CASES
1948,31,MISSISSIPPI,MS,US,STATE,1,CASES
1948,33,MISSISSIPPI,MS,US,STATE,2,CASES
1948,34,MISSISSIPPI,MS,US,STATE,2,CASES
1948,37,MISSISSIPPI,MS,US,STATE,5,CASES
1948,39,MISSISSIPPI,MS,US,STATE,2,CASES
1948,40,MISSISSIPPI,MS,US,STATE,3,CASES
1948,43,MISSISSIPPI,MS,US,STATE,1,CASES
1948,45,MISSISSIPPI,MS,US,STATE,5,CASES
1948,47,MISSISSIPPI,MS,US,STATE,8,CASES
1948,48,MISSISSIPPI,MS,US,STATE,2,CASES
1948,49,MISSISSIPPI,MS,US,STATE,6,CASES
